назва продукту;посилання на продукт;банк;зоображення на картинку
Кредитна картка «Хочу-карта»;https://minfin.com.ua/ua/company/aval/;Райффайзен Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png
Кредитна картка «Card Blanche White+»;https://minfin.com.ua/ua/company/ideabank/;Ідея Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/62b5b39aa805c.png
Кредитна картка «Сaméléon»;https://minfin.com.ua/ua/company/alfa-bank/;Альфа-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61151d20c36b8.png
Дебетова картка «Правильна картка»;https://minfin.com.ua/ua/company/kredobank/;Кредобанк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62b461b268b8f.png
Кредитна картка «soloМандри»;https://minfin.com.ua/ua/company/pumb/;ПУМБ;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dca79c882d.png
Кредитна картка «Велика п'ятірка»;https://minfin.com.ua/ua/company/taskombank/;Таскомбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png
Кредитна картка «Зелена»;https://minfin.com.ua/ua/company/a-bank/;А-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png
Кредитна картка «Monobank»;https://minfin.com.ua/ua/company/monobank/;monobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcb23447aa.png
Кредитна картка «Freecard gold»;https://minfin.com.ua/ua/company/credit-dnepr/;Банк Кредит Дніпро;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png
Кредитна картка «Еко-кредитка»;https://minfin.com.ua/ua/company/ukrgasbank/;Укргазбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e32bf9a865b7.png
Кредитна картка «Універсальна»;https://minfin.com.ua/ua/company/privatbank/;Приватбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png
Кредитна картка «Коко Кард»;https://minfin.com.ua/ua/company/forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5d8cabd309589.png
Кредитна картка «Unex Card»;https://minfin.com.ua/ua/company/unexbank/;Юнекс Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e04bd336f3f6.png
Кредитна картка «Benefit New»;https://minfin.com.ua/ua/company/marfinbank/;МТБ Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fe1bc2dbfe04.png
Кредитна картка «Платинум Преміум +»;https://minfin.com.ua/ua/company/ukrstroyinvestbank/;Укрбудінвестбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fc6313fa40a6.png
Кредитна картка «Кредитка»;https://minfin.com.ua/ua/company/ukreximbank/;Укрексімбанк;https://minfin.com.ua/finua-assets/media/cache/default_credit_card_200/static/images/default_card.png
Кредитна картка «Запасочка»;https://minfin.com.ua/ua/company/globus/;Глобус;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcac8d5136.png
Кредитна картка «Neocard»;https://minfin.com.ua/ua/company/neobank/;Neobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/619ba9e66ebb5.png
Дебетова картка «Універсальна»;https://minfin.com.ua/ua/company/bis/;Банк інвестицій та заощаджень;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062223d1b606.png
Універсальна картка World;https://minfin.com.ua/ua/company/rwsbank/;РВС Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62149301af8e6.png
